datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags,vlan
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    8147, 5104594,28,30000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    7904, 4951492,24,518000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    8277, 5180886,29,980000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    8192, 5129956,27,418000000,0x0000,1
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     142,   89024,38,301000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     333,  203634,35,179000000,0x0000,1
0000000000000003,       1,46:fe:e1:49:87:f8,       2,    7904, 4951492,34,527000000,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     142,   89024,38,290000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    8161, 5114126,38,295000000,0x0000,1
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    8192, 5129956,37,431000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    8277, 5180886,39,993000000,0x0000,1
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    8147, 5104594,38,39000000,0x0000,1
0000000000000002,       2,fa:8f:99:2c:69:cd,       3,       6,    3420,1,376000000,0x0000,0
0000000000000002,       3,46:fe:e1:49:87:f8,       2,     769,  515266,0,1000000,0x0000,1
0000000000000027,       1,46:fe:e1:49:87:f8,       3,    8301, 5205174,50,21000000,0x0000,1
0000000000000027,       3,fa:8f:99:2c:69:cd,       1,       6,    3420,1,415000000,0x0000,0
0000000000000006,       1,46:fe:e1:49:87:f8,       4,    8166, 5121504,48,76000000,0x0000,1
0000000000000006,       4,fa:8f:99:2c:69:cd,       1,       6,    3420,1,392000000,0x0000,0
0000000000000007,       2,46:fe:e1:49:87:f8,       2,     142,   89024,48,338000000,0x0000,1
000000000000000b,       2,46:fe:e1:49:87:f8,       2,     333,  203634,45,216000000,0x0000,1
0000000000000008,       1,46:fe:e1:49:87:f8,       1,     142,   89024,48,327000000,0x0000,1
000000000000000a,       1,46:fe:e1:49:87:f8,       2,    8185, 5138414,48,332000000,0x0000,1
000000000000000a,       2,fa:8f:99:2c:69:cd,       1,       6,    3420,1,399000000,0x0000,0
000000000000001a,       1,46:fe:e1:49:87:f8,       2,    8216, 5154244,47,459000000,0x0000,1
