@relation monitor-ddos-port-attack-stats

@attribute datapath string
@attribute port string
@attribute rx-pkts numeric
@attribute rx-bytes numeric
@attribute rx-error numeric
@attribute tx-pkts numeric
@attribute tx-bytes numeric
@attribute tx-error numeric

@data
10,fffffffe,0,0,0,0,0,0
9,1,50,3090,0,9,648,0
9,2,8,588,0,49,3030,0
9,fffffffe,0,0,0,0,0,0
000000000000000d,1,51,3150,0,14,958,0
000000000000000d,2,10,708,0,49,3030,0
000000000000000d,3,8,588,0,52,3220,0
000000000000000d,fffffffe,0,0,0,0,0,0
18,1,9,648,0,49,3030,0
18,2,48,2970,0,10,708,0
18,fffffffe,0,0,0,0,0,0
11,1,48,2980,0,8,588,0
11,fffffffe,0,0,0,0,0,0
000000000000000c,1,49,3030,0,11,768,0
000000000000000c,2,14,958,0,51,3150,0
000000000000000c,fffffffe,0,0,0,0,0,0
17,1,49,3030,0,9,648,0
17,2,12,828,0,49,3030,0
17,fffffffe,0,0,0,0,0,0
5,1,48,2970,0,8,588,0
5,2,8,588,0,48,2970,0
5,fffffffe,0,0,0,0,0,0
000000000000001c,1,47,2910,0,11,768,0
000000000000001c,2,8,588,0,48,2970,0
000000000000001c,fffffffe,0,0,0,0,0,0
000000000000001a,1,58,3929,0,20,1393,0
000000000000001a,2,18,1243,0,58,3929,0
000000000000001a,fffffffe,0,0,0,0,0,0
000000000000000b,1,51,3150,0,12,828,0
000000000000000b,2,11,768,0,47,2910,0
000000000000000b,3,11,768,0,49,3030,0
000000000000000b,fffffffe,0,0,0,0,0,0
6,1,63,4229,0,21,1423,0
6,2,10,738,0,49,3030,0
6,3,13,888,0,54,3330,0
6,4,19,1303,0,63,4229,0
6,fffffffe,0,0,0,0,0,0
2,1,54,3348,0,15,990,0
2,2,14,930,0,53,3288,0
2,fffffffe,0,0,0,0,0,0
000000000000001d,1,53,3270,0,8,588,0
000000000000001d,2,54,3330,0,12,828,0
000000000000001d,fffffffe,0,0,0,0,0,0
1,1,15,990,0,59,3648,0
