sep=,
datapath,in-port,eth-dst,out-port,packets,bytes,duration-sec,duration-nsec,flags
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3561,  263514,204,254000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2019,  149406,91,753000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,257,750000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3672,  271728,214,68000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    3990,  295260,256,509000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,267,551000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2130,  157620,101,552000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3751,  277574,224,232000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,277,701000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4069,  301106,266,672000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2209,  163466,111,716000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2290,  169460,121,788000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,287,773000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4150,  307100,276,744000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3832,  283568,234,310000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,297,866000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2403,  177822,131,929000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3945,  291930,244,445000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4263,  315462,286,886000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2457,  181818,142,647000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,308,654000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4317,  319458,297,635000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    3999,  295926,255,203000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4359,  322566,307,704000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    4041,  299034,265,242000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,318,738000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2499,  184926,152,748000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2547,  188478,162,804000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4407,  326118,317,753000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,328,783000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    4089,  302586,275,320000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4470,  330780,327,725000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,338,755000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    4152,  307248,285,284000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2610,  193140,172,768000000,0x0000
000000000000001c,       1,1a:e6:06:d3:9e:cd,       1,      21,    1554,349,106000000,0x0000
000000000000001a,       1,1a:e6:06:d3:9e:cd,       2,    4285,  317090,295,618000000,0x0000
000000000000001b,       1,1a:e6:06:d3:9e:cd,       3,    4603,  340622,338,52000000,0x0000
000000000000000a,       1,1a:e6:06:d3:9e:cd,       2,    2743,  202982,183,96000000,0x0000
